Source,Target,Weight
PETITOT J,1989,1
SOUTIF L,1989,1
TIN M,1989,1
TULCHINSKII G,1989,2
VESSEY D,1989,1
ZIRION A,1989,1
BEAUVAIS C,1990,1
BEITES P,1990,1
CASSEDY S,1990,1
CHENAVIER R,1990,1
COURCIER J,1990,1
DUNSON J,1990,1
EVINK E,1990,1
KOHAK E,1990,1
MARDER M,1990,1
MIETTINEN T,1990,1
RICCI G,1990,1
RICOEUR P,1990,1
SEEMAN D,1990,1
THOMSON I,1990,1
TRUTTY-COOHILL P,1990,1
TYMAN S,1990,1
WALDENFELS B,1990,1
CASSEDY S,1991,1
COURCIER J,1991,1
HORGAN T,1991,1
HOUSSET E,1991,1
KOHAK E,1991,1
KUZNETSOV V,1991,1
MARION J,1991,1
MASTERSON P,1991,1
MORROW D,1991,1
PARK B,1991,1
PEREGO V,1991,1
SEEMAN D,1991,1
STOKES P,1991,1
TRUTTY-COOHILL P,1991,1
TULCHINSKII G,1991,1
WESTPHAL M,1991,1
ZIRION A,1991,1
CAMILLERI S,1992,1
CIOCAN C,1992,1
FURTAK R,1992,1
ICHIN K,1992,1
KOHAK E,1992,1
KUHN R,1992,2
MCDOWELL J,1992,1
MCGUIRK J,1992,1
MCHENRY L,1992,1
MENSCH J,1992,2
MROZ P,1992,1
SOBOTKA W,1992,1
TULCHINSKII G,1992,2
WATSON S,1992,1
ANDERSEN N,1993,1
BEITES P,1993,1
CIBULKA J,1993,1
CIOCAN C,1993,1
CONILL-SANCHO J,1993,1
CURZER H,1993,1
DASTUR F,1993,1
DENNES M,1993,1
FURTAK R,1993,1
GENOVA A,1993,1
LAUER C,1993,1
MARDER M,1993,1
MORAN D,1993,1
MORROW D,1993,2
NELSON E,1993,1
O'CONNOR P,1993,1
OVERGAARD S,1993,1
POWELL J,1993,1
RENAUDIE P,1993,1
SEIFERT J,1993,1
TULCHINSKII G,1993,2
ZNOJ M,1993,1
[ANONYMOUS],1994,1
ANDERSEN N,1994,1
ANGEL L,1994,1
ANGELINO L,1994,1
BLECHA I,1994,1
CAMILLERI S,1994,1
CLARK T,1994,1
DASTUR F,1994,1
DUITS R,1994,1
FURTAK R,1994,1
GJESDAL K,1994,1
HART J,1994,1
HELD K,1994,1
KAINZ H,1994,1
KUZNETSOV V,1994,1
LUFT S,1994,1
MCDOWELL J,1994,1
NELSON E,1994,1
O'CONNOR P,1994,1
PICHE C,1994,1
RENAUDIE P,1994,1
SCHALOW F,1994,1
SEEMAN D,1994,1
SENDEROV V,1994,1
WALDENFELS B,1994,1
WILLIAMS H,1994,1
BEITES P,1995,1
CAMILLERI S,1995,1
CLARK T,1995,1
CONKLIN W,1995,1
DE B K,1995,1
GJESDAL K,1995,1
HEINAMAA S,1995,1
KOHAK E,1995,1
MORROW D,1995,1
O'CONNOR P,1995,1
RASMUSSEN D,1995,1
SAVIN A,1995,1
SEEMAN D,1995,1
TULCHINSKII G,1995,1
WALDENFELS B,1995,1
ASMUTH C,1996,1
BEITES P,1996,1
BERNASCONI R,1996,1
CHEN X,1996,1
DUNSON J,1996,1
FURTAK R,1996,1
GONZALEZ F,1996,1
MCHENRY L,1996,1
MORROW D,1996,1
TULCHINSKII G,1996,2
VESSEY D,1996,1
ANGEL L,1997,1
BAIASU R,1997,1
BIMBENET E,1997,1
CAMILLERI S,1997,1
CLARK T,1997,1
DENNES M,1997,1
GENDLIN E,1997,1
GONZALEZ F,1997,1
GROSSMAN P,1997,1
HOUSSET E,1997,1
JANICAUD D,1997,1
KOHAK E,1997,1
MCDOWELL J,1997,1
MORRIS D,1997,1
MORROW D,1997,1
O'CONNOR P,1997,1
PALOUS R,1997,1
RICCI G,1997,1
SAVIN A,1997,1
SCHALOW F,1997,1
SEIFERT J,1997,1
SMITH N,1997,1
STOKES P,1997,1
VISSER G,1997,1
WALDENFELS B,1997,1
WOOD D,1997,1
BAIASU R,1998,1
BEAUVAIS C,1998,1
BEITES P,1998,1
CALCAGNO A,1998,1
CHENAVIER R,1998,1
CONWAY M,1998,1
DENNES M,1998,1
DWYER D,1998,1
GONZALEZ F,1998,1
HAO C,1998,1
POWELL J,1998,1
RUSSON J,1998,1
VERMERSCH P,1998,1
WALDENFELS B,1998,2
WESTPHAL M,1998,1
WILLIAMS H,1998,1
ADAM M,1999,1
BRANDOM R,1999,1
COURCIER J,1999,1
DWYER D,1999,1
FERRETTI M,1999,1
GJESDAL K,1999,1
GREGOR B,1999,1
HELD K,1999,1
JARCZYK G,1999,1
KOSKY J,1999,1
LORIES D,1999,1
PEREGO V,1999,1
SCHALOW F,1999,1
SOUTIF L,1999,1
THOMSON I,1999,1
TRUTTY-COOHILL P,1999,1
WALDENFELS B,1999,1
BECKMANN-ZOLLER B,2000,1
BEITES P,2000,1
CAMILLERI S,2000,2
CHIEREGHIN F,2000,1
CRESPO M,2000,1
GONZALEZ F,2000,1
KOSKY J,2000,1
KUHN R,2000,1
LLEWELYN J,2000,1
MARION J,2000,1
MORROW D,2000,1
PEREGO V,2000,1
REDMOND W,2000,1
RICOEUR P,2000,1
SEBBAH F,2000,1
THOMSON I,2000,1
TRUTTY-COOHILL P,2000,1
VAN H P,2000,1
[ANONYMOUS],2001,1
BROSOVA N,2001,1
CAMILLERI S,2001,1
DONOUGHO M,2001,1
EVINK E,2001,1
FALQUE E,2001,1
FURTAK R,2001,1
GREGOR B,2001,1
HANSON J,2001,1
HOUSSET E,2001,1
JACKSON J,2001,1
LAMB A,2001,1
LAUER C,2001,1
LAWLOR L,2001,1
MARION J,2001,1
MCDOWELL J,2001,1
MORRIS D,2001,1
RENAUDIE P,2001,1
STERLICIII P,2001,1
STOKES P,2001,1
TUNSTALL D,2001,1
WALDENFELS B,2001,1
WESTPHAL M,2001,1
WILLIAMS H,2001,1
CALCAGNO A,2002,1
CAMILLERI S,2002,2
COURCIER J,2002,1
CRESPO M,2002,1
DE B K,2002,1
DONOUGHO M,2002,1
FINN V,2002,1
GLINKA H,2002,1
LLEWELYN J,2002,1
LUFT S,2002,1
MARION J,2002,1
MORROW D,2002,1
NELSON E,2002,1
SCHRIJVERS J,2002,1
SHARKEY S,2002,1
WALDENFELS B,2002,1
ZIRION A,2002,1
ARNDT A,2003,1
CAMILLERI S,2003,1
CIOCAN C,2003,1
COURCIER J,2003,1
DE B K,2003,1
MORROW D,2003,2
PICHE C,2003,1
RASMUSSEN D,2003,1
RIVERA J,2003,1
SENDEROV V,2003,1
WALDENFELS B,2003,1
WATSON S,2003,1
WESTPHAL M,2003,1
AL-SAJI A,2004,1
ANGELINO L,2004,1
BEITES P,2004,1
BENDLOVA P,2004,1
BERNASCONI R,2004,1
DAUJOTYTE-PAKERIENE V,2004,1
EVINK E,2004,1
GENDLIN E,2004,1
LAWLOR L,2004,1
MANOUSSAKIS J,2004,1
MORROW D,2004,1
NELSON E,2004,1
RASMUSSEN D,2004,1
RUSSON J,2004,1
TIN M,2004,1
ALLOA E,2005,1
BEITES P,2005,1
BROSOVA N,2005,1
CAMILLERI S,2005,1
GJESDAL K,2005,1
JACQUETTE D,2005,1
KOZIN A,2005,1
LAWLOR L,2005,1
MARION J,2005,1
MORROW D,2005,1
O'CONNOR P,2005,1
RIVERA J,2005,1
ROMANO C,2005,1
SEEMAN D,2005,1
SMITH N,2005,1
TANI T,2005,1
WALDENFELS B,2005,1
BECKMANN-ZOLLER B,2006,1
BOURGEOIS B,2006,1
GONZALEZ F,2006,1
MICALI S,2006,1
MULLARKEY J,2006,1
NUNEZ A,2006,1
PASQUINELLI E,2006,1
ROZIN V,2006,1
THYS M,2006,1
VIDALIN A,2006,1
WALDENFELS B,2006,1
ABBOTT M,2007,1
BERNASCONI R,2007,1
DALISSIER M,2007,1
MANOUSSAKIS J,2007,1
NELSON E,2007,1
PENOLIDIS T,2007,1
SVETLIC R,2007,1
TOADVINE T,2007,1
WALDENFELS B,2007,1
AL-SAJI A,2008,1
ALLOA E,2008,1
DUNSON J,2008,1
EVINK E,2008,1
FERNANDEZ J,2008,1
KUHN R,2008,1
WATSON S,2008,1
KAMECKE G,2009,1
LAUER C,2009,1
MARDER M,2009,1
TOADVINE T,2009,1
TRUTTY-COOHILL P,2009,1
VILJOEN M,2009,1
WALDENFELS B,2009,1
WATSON S,2009,2
MARCELLE D,2010,1
WALDENFELS B,2010,1
WATSON S,2010,1
MARDER M,2011,1
HELD K,A L HA,1
MAIORCA B,AA V,1
HAWTHORNE S,AACAP,1
SCHUHMANN K,AALL A,1
ELLIS M,AARON J,1
ONISHI B,AARON S,1
TRAKAKIS N,AARON S,1
MCFADDEN J,AARONS L,1
SEUREN P,AARSLEFF H,1
PACHERIE E,AARTS H,1
HALADEWICZ-GRZELAK M,AARTS J,1
DE N D,AAVV,1
DE L CO,ABAD F,1
MAIORCA B,ABBAGNANO N,1
SANTUCCI A,ABBAGNANO N,1
VECA S,ABBAGNANO N,1
GARCIA S,ABBEY R,1
MEIJER M,ABBEY R,1
VARGA S,ABBEY R,1
KRISTJANSSON K,ABBLETT M,1
SMYTHIES J,ABBOTT E,1
MCDERMOTT D,ABBOTT L,1
COLLINS A,ABBOTT M,1
DRISCOLL E,ABE M,1
MACHADO R,ABE M,1
WALDENFELS B,ABEL G,1
GRAVER M,ABEL K,1
CAPUTO A,ABEL O,1
GIBBS P,ABELA A,1
DOKIC J,ABELL,1
CHASID A,ABELL C,1
DE N F,ABELLA M,1
PODVOYSKIY D,ABELS H,1
CERNY J,ABENSOR M,1
LIEBSCH B,ABENSOUR M,2
OLIVARES C,ABENSOUR M,2
SCHRIJVERS J,ABENSOUR M,1
TERREBLANCHE S,ABENSOUR M,1
GRATTAN-GUINNESS I,ABERDEIN A,1
TONER J,ABERNETHY B,1
HAWTHORNE S,ABIKOFF H,1
SLABY J,ABIRACHED J,1
RUSSON J,ABISH W,1
KERSYTE N,ABLALI D,1
BOURGEOIS P,ABOULAFIA M,1
GENIUSAS S,ABOULAFIA M,1
GRANT S,ABRAHAM N,1
LAMBERT G,ABRAHAM N,1
SEEMAN D,ABRAHAM R,1
TOADVINE T,ABRAM,1
CLARK T,ABRAM D,1
HAILWOOD S,ABRAM D,2
JAMES S,ABRAM D,2
SHORES C,ABRAM D,1
SMITH S,ABRAM D,1
SPARROW T,ABRAM D,1
THOMPSON E,ABRAM D,1
TOADVINE T,ABRAM D,1
ZAGIRNYAK M,ABRAMOV A,1
CROWELL S,ABRAMOWICZ J,1
PORAT O,ABRAMS D,1
RODRIGUEZ I,ABRAMS D,1
SEEMAN D,ABRAMS D,1
BARBARAS R,ABRAMS E,4
JACQUET F,ABRAMS E,1
MENSCH J,ABRAMS E,1
RICOEUR P,ABRAMS E,1
RODRIGUEZ I,ABRAMS E,1
TARDIVEL E,ABRAMS E,1
MA M,ABRAMS M,1
NEWELL W,ABRAMS M,1
SASS L,ABRAMS M,1
ARVIDSON P,ABRAMS R,1
SASS L,ABRAMS R,1
RODRIGO P,ABRAMSOVE E,1
RODRIGO P,ABRAMSOVOU E,1
SEEMAN D,ABRAVANEL R,1
SCHUHMANN K,ABRO A,1
ANGUS I,ABROMEIT J,1
ANGUS I,ABROMHEIT J,1
STACK G,ABSE D,1
MORAN D,ABTEILUNG Z,1
SWAZO N,ABUHAMDIYYAH M,1
KOLESNICHENKO Y,ABULKHANOVA K,1
AL-SAJI A,ABULUGHOD L,1
STAUDIGL M,ABULUGHOD L,1
SMITH S,ACAMPORA R,1
URBAN P,ACAMPORA R,2
ACCETTI C,ACCETTI C,1
HAGGARD P,ACH N,1
NAHMIAS E,ACH N,1
RINOFNER-KREIDL S,ACHAM K,1
CHUKWUELOBE M,ACHEBE C,1
BASSO E,ACHELLA S,1
ILUNDAIN-AGURRUZA J,ACKER W,1
OBERT M,ACKER W,1
ZNOJ M,ACKERMAN B,1
QAUROONI D,ACKERMAN S,1
DUQUE C,ACKERMANN A,1
ARGUELLES-FERNANDEZ G,ACKERMANN K,1
TRIGG D,ACKNER B,1
CAZEAUX C,ACKROYD P,1
BHARGAVA R,ACKROYD S,1
FUCHS T,ACREDOLO L,1
WOELERT P,ACREDOLO L,1
VRAHIMIS A,ACTON H,1
HEELAN P,ACZEL A,1
ADAM A,ADAM A,1
ST P J,ADAM B,1
CAPEK J,ADAM C,1
SOBOTKA M,ADAM C,1
SCHUHMANN K,ADAM H,1
CASSEDY S,ADAM J,1
DUSSERT J,ADAM J,1
LINCOLN U,ADAM J,1
ADAM M,ADAM M,1
BARZILAI D,ADAM P,1
NAKHUTSRISHVILI L,ADAMEK P,1
IFERGAN P,ADAMS D,1
DRISCOLL E,ADAMS F,1
GALLAGHER S,ADAMS F,1
GREENWOOD J,ADAMS F,1
GRUNBAUM T,ADAMS F,1
JANSEN J,ADAMS F,1
KRUEGER J,ADAMS F,1
SCHMID H,ADAMS F,1
WALSH P,ADAMS F,1
FOSHAY R,ADAMS H,1
KEEPING J,ADAMS H,1
TULLIUS W,ADAMS M,1
MENEGONI F,ADAMS N,1
GIERSCH A,ADAMS R,1
HAHNEL M,ADAMS R,1
KOVAC S,ADAMS R,1
LIVADAS S,ADAMS R,1
SMYTH B,ADAMS W,1
MACLAREN K,ADAMSON L,1
MORRIS D,ADAMSON T,1
SRIPADA C,ADDIS D,1
BAILEY A,ADDIS L,1
BERGAMIN J,ADDIS M,1
HAILE J,ADDITIONALLY C,1
HOPKINS B,ADELGUNDIS J,1
GEORGIOU A,ADELMAN C,1
REID H,ADELMAN H,1
JAGNOW R,ADELSON E,1
JOLA C,ADELSON E,1
KORALUS P,ADELSON E,1
WESTPHAL K,ADICKES E,1
SKILLEN A,ADKINS A,1
KUHN R,ADLER A,1
KOVACS G,ADLER D,1
KEREN A,ADLER J,1
VAN D SCHAAR M,ADLER J,1
HAWTHORNE S,ADLER L,1
ANGUS I,ADLER P,1
YAMPOLSKAYA A,ADO P,1
KIND A,ADOBE,1
DE B LC,ADOLPH K,1
GERRANS P,ADOLPHS R,1
LANE T,ADOLPHS R,1
THOMPSON E,ADOLPHS R,1
LYSEMOSE K,ADOMO T,1
JUOZELIS E,ADOMONIS E,1
DALLMAYR F,ADORNO,1
HOWIE G,ADORNO,1
NORRIS C,ADORNO,1
SMITH N,ADORNO,1
ALLSOBROOK C,ADORNO T,3
ANGUS I,ADORNO T,1
ARANDATORRES C,ADORNO T,1
BERGO B,ADORNO T,1
BORS V,ADORNO T,1
CARLSSON U,ADORNO T,1
CASTRODEZA C,ADORNO T,1
CHILLON J,ADORNO T,1
CIBULKA J,ADORNO T,1
