"Source","Target","Weight"
"SCHALOW F","1999"," 1"
"SOUTIF L","1999"," 1"
"THOMSON I","1999"," 1"
"TRUTTY-COOHILL P","1999"," 1"
"WALDENFELS B","1999"," 1"
"BECKMANN-ZOLLER B","2000"," 1"
"BEITES P","2000"," 1"
"CAMILLERI S","2000"," 2"
"CHIEREGHIN F","2000"," 1"
"CRESPO M","2000"," 1"
"GONZALEZ F","2000"," 1"
"KOSKY J","2000"," 1"
"KUHN R","2000"," 1"
"LLEWELYN J","2000"," 1"
"MARION J","2000"," 1"
"MORROW D","2000"," 1"
"PEREGO V","2000"," 1"
"REDMOND W","2000"," 1"
"RICOEUR P","2000"," 1"
"SEBBAH F","2000"," 1"
"THOMSON I","2000"," 1"
"TRUTTY-COOHILL P","2000"," 1"
"VAN H P","2000"," 1"
"[ANONYMOUS]","2001"," 1"
"CAMILLERI S","2001"," 1"
"DONOUGHO M","2001"," 1"
"EVINK E","2001"," 1"
"FALQUE E","2001"," 1"
"FURTAK R","2001"," 1"
"GREGOR B","2001"," 1"
"HANSON J","2001"," 1"
"JACKSON J","2001"," 1"
"LAMB A","2001"," 1"
"LAUER C","2001"," 1"
"LAWLOR L","2001"," 1"
"MARION J","2001"," 1"
"MCDOWELL J","2001"," 1"
"MORRIS D","2001"," 1"
"RENAUDIE P","2001"," 1"
"STERLICIII P","2001"," 1"
"STOKES P","2001"," 1"
"TUNSTALL D","2001"," 1"
"WALDENFELS B","2001"," 1"
"WESTPHAL M","2001"," 1"
"WILLIAMS H","2001"," 1"
"CALCAGNO A","2002"," 1"
"CAMILLERI S","2002"," 2"
"COURCIER J","2002"," 1"
"CRESPO M","2002"," 1"
"DE B K","2002"," 1"
"DONOUGHO M","2002"," 1"
"GLINKA H","2002"," 1"
"LLEWELYN J","2002"," 1"
"LUFT S","2002"," 1"
"MARION J","2002"," 1"
"MORROW D","2002"," 1"
"NELSON E","2002"," 1"
"SCHRIJVERS J","2002"," 1"
"SHARKEY S","2002"," 1"
"WALDENFELS B","2002"," 1"
"ZIRION A","2002"," 1"
"CAMILLERI S","2003"," 1"
"CIOCAN C","2003"," 1"
"COURCIER J","2003"," 1"
"DE B K","2003"," 1"
"MORROW D","2003"," 2"
"RASMUSSEN D","2003"," 1"
"RIVERA J","2003"," 1"
"WALDENFELS B","2003"," 1"
"WATSON S","2003"," 1"
"WESTPHAL M","2003"," 1"
"AL-SAJI A","2004"," 1"
"ANGELINO L","2004"," 1"
"BEITES P","2004"," 1"
"BENDLOVA P","2004"," 1"
"BERNASCONI R","2004"," 1"
"DAUJOTYTE-PAKERIENE V","2004"," 1"
"EVINK E","2004"," 1"
"GENDLIN E","2004"," 1"
"LAWLOR L","2004"," 1"
"MANOUSSAKIS J","2004"," 1"
"MORROW D","2004"," 1"
"NELSON E","2004"," 1"
"RASMUSSEN D","2004"," 1"
"RUSSON J","2004"," 1"
"TIN M","2004"," 1"
"ALLOA E","2005"," 1"
"BEITES P","2005"," 1"
"CAMILLERI S","2005"," 1"
"GJESDAL K","2005"," 1"
"KOZIN A","2005"," 1"
"LAWLOR L","2005"," 1"
"MARION J","2005"," 1"
"MORROW D","2005"," 1"
"O'CONNOR P","2005"," 1"
"RIVERA J","2005"," 1"
"ROMANO C","2005"," 1"
"SEEMAN D","2005"," 1"
"SMITH N","2005"," 1"
"TANI T","2005"," 1"
"WALDENFELS B","2005"," 1"
"BECKMANN-ZOLLER B","2006"," 1"
"GONZALEZ F","2006"," 1"
"MICALI S","2006"," 1"
"MULLARKEY J","2006"," 1"
"PASQUINELLI E","2006"," 1"
"ROZIN V","2006"," 1"
"WALDENFELS B","2006"," 1"
"ABBOTT M","2007"," 1"
"BERNASCONI R","2007"," 1"
"DALISSIER M","2007"," 1"
"MANOUSSAKIS J","2007"," 1"
"NELSON E","2007"," 1"
"SVETLIC R","2007"," 1"
"TOADVINE T","2007"," 1"
"WALDENFELS B","2007"," 1"
"AL-SAJI A","2008"," 1"
"ALLOA E","2008"," 1"
"DUNSON J","2008"," 1"
"EVINK E","2008"," 1"
"FERNANDEZ J","2008"," 1"
"KUHN R","2008"," 1"
"WATSON S","2008"," 1"
"KAMECKE G","2009"," 1"
"LAUER C","2009"," 1"
"MARDER M","2009"," 1"
"TOADVINE T","2009"," 1"
"TRUTTY-COOHILL P","2009"," 1"
"VILJOEN M","2009"," 1"
"WALDENFELS B","2009"," 1"
"WATSON S","2009"," 2"
"LIEBSCH B","ABENSOUR M"," 2"
"OLIVARES C","ABENSOUR M"," 2"
"SCHRIJVERS J","ABENSOUR M"," 1"
"TERREBLANCHE S","ABENSOUR M"," 1"
"CLARK T","ABRAM D"," 1"
"HAILWOOD S","ABRAM D"," 2"
"JAMES S","ABRAM D"," 2"
"SHORES C","ABRAM D"," 1"
"SMITH S","ABRAM D"," 1"
"SPARROW T","ABRAM D"," 1"
"THOMPSON E","ABRAM D"," 1"
"TOADVINE T","ABRAM D"," 1"
"BARBARAS R","ABRAMS E"," 4"
"JACQUET F","ABRAMS E"," 1"
"MENSCH J","ABRAMS E"," 1"
"RICOEUR P","ABRAMS E"," 1"
"RODRIGUEZ I","ABRAMS E"," 1"
"TARDIVEL E","ABRAMS E"," 1"
"DRISCOLL E","ADAMS F"," 1"
"GALLAGHER S","ADAMS F"," 1"
"GREENWOOD J","ADAMS F"," 1"
"GRUNBAUM T","ADAMS F"," 1"
"JANSEN J","ADAMS F"," 1"
"KRUEGER J","ADAMS F"," 1"
"SCHMID H","ADAMS F"," 1"
"WALSH P","ADAMS F"," 1"
"ALLSOBROOK C","ADORNO T"," 3"
"ANGUS I","ADORNO T"," 1"
"ARANDATORRES C","ADORNO T"," 1"
"BERGO B","ADORNO T"," 1"
"BORS V","ADORNO T"," 1"
"CARLSSON U","ADORNO T"," 1"
"CASTRODEZA C","ADORNO T"," 1"
"CHILLON J","ADORNO T"," 1"
"CIBULKA J","ADORNO T"," 1"
"CRUZ C","ADORNO T"," 1"
"DAHL E","ADORNO T"," 1"
"DALLMAYR F","ADORNO T"," 2"
"DE L F","ADORNO T"," 1"
"DELIC Z","ADORNO T"," 1"
"DUNSON J","ADORNO T"," 1"
"DUPPE T","ADORNO T"," 1"
"FERENCZ-FLATZ C","ADORNO T"," 2"
"FOSHAY R","ADORNO T"," 1"
"GIRAUD V","ADORNO T"," 1"
"GOGUEN J","ADORNO T"," 1"
"GORTZEN R","ADORNO T"," 1"
"GRONDIN J","ADORNO T"," 1"
"GRUNY C","ADORNO T"," 1"
"HAINIC C","ADORNO T"," 1"
"HARTMANN K","ADORNO T"," 1"
"HARVEY C","ADORNO T"," 1"
"HAVERKAMP A","ADORNO T"," 1"
"HOWIE G","ADORNO T"," 2"
"JACKSON J","ADORNO T"," 2"
"KIMMERLE H","ADORNO T"," 2"
"KLEIN R","ADORNO T"," 3"
"KOCHLER H","ADORNO T"," 1"
"LANDWEER H","ADORNO T"," 1"
"LIVADAS S","ADORNO T"," 1"
"LUNA J","ADORNO T"," 1"
"MARSH J","ADORNO T"," 1"
"MATEJCKOVA T","ADORNO T"," 1"
"MECACCI A","ADORNO T"," 1"
"MIETTINEN T","ADORNO T"," 1"
"MIKA C","ADORNO T"," 1"
"MILLER J","ADORNO T"," 1"
"MOCKEL C","ADORNO T"," 1"
"MORAN D","ADORNO T"," 1"
"MORENO C","ADORNO T"," 1"
"NG K","ADORNO T"," 1"
"NORRIS C","ADORNO T"," 2"
"OBERT M","ADORNO T"," 1"
"OUBINA O","ADORNO T"," 1"
"REYNOLDS J","ADORNO T"," 1"
"SCARSO D","ADORNO T"," 1"
"SHUSTER M","ADORNO T"," 1"
"SMITH N","ADORNO T"," 2"
"SMYTH B","ADORNO T"," 1"
"SORENSEN A","ADORNO T"," 1"
"STOKES P","ADORNO T"," 1"
"STRUYKERBOUDIER C","ADORNO T"," 2"
"SWINDAL J","ADORNO T"," 1"
"VANDEPITTE M","ADORNO T"," 1"
"VANREIJEN W","ADORNO T"," 1"
"VISSER G","ADORNO T"," 1"
"WALKER K","ADORNO T"," 1"
"BADGER L","AGAMBEN G"," 1"
"BERAN O","AGAMBEN G"," 1"
"BERGO B","AGAMBEN G"," 1"
"CAMILLERI S","AGAMBEN G"," 1"
"DE J P","AGAMBEN G"," 1"
"FURTAK R","AGAMBEN G"," 1"
"HALL M","AGAMBEN G"," 1"
"HAVERKAMP A","AGAMBEN G"," 1"
"HELD L","AGAMBEN G"," 1"
"KLAVER I","AGAMBEN G"," 1"
"KOMEL D","AGAMBEN G"," 1"
"KOUBOVA A","AGAMBEN G"," 2"
"LIEBSCH B","AGAMBEN G"," 1"
"LLORENTE J","AGAMBEN G"," 1"
"LLOYD R","AGAMBEN G"," 1"
"LYSEMOSE K","AGAMBEN G"," 1"
"MEANA D","AGAMBEN G"," 1"
"MURCHADHA F","AGAMBEN G"," 1"
"MURRAY S","AGAMBEN G"," 1"
"O'CONNOR P","AGAMBEN G"," 1"
"PEREGO V","AGAMBEN G"," 1"
"REYNOLDS J","AGAMBEN G"," 1"
"SCHALOW F","AGAMBEN G"," 1"
"SIMON Z","AGAMBEN G"," 1"
"SMITH S","AGAMBEN G"," 1"
"STEINBOCK A","AGAMBEN G"," 1"
"STERNAD C","AGAMBEN G"," 1"
"TOADVINE T","AGAMBEN G"," 1"
"VLIEGHE J","AGAMBEN G"," 1"
"WITHY K","AGAMBEN G"," 1"
"WOOD D","AGAMBEN G"," 1"
"BEHNKE E","AGUIRRE A"," 3"
"CHOI K","AGUIRRE A"," 1"
"DE P V","AGUIRRE A"," 2"
"DWYER D","AGUIRRE A"," 1"
"HELD K","AGUIRRE A"," 1"
"LARRABEE M","AGUIRRE A"," 1"
"LOTZ C","AGUIRRE A"," 3"
"LUFT S","AGUIRRE A"," 1"
"LUO Z","AGUIRRE A"," 1"
"MORAN D","AGUIRRE A"," 1"
"OGAWA T","AGUIRRE A"," 1"
"SAKAKIBARA T","AGUIRRE A"," 1"
"STEINBOCK A","AGUIRRE A"," 1"
"AL-SAJI A","AHMED S"," 1"
"BENTOUHAMI H","AHMED S"," 1"
"CARASTATHIS A","AHMED S"," 1"
"DOLEZAL L","AHMED S"," 1"
"ECKSTRAND N","AHMED S"," 1"
"FERNANDEZ A","AHMED S"," 1"
"GARCIA O","AHMED S"," 1"
"HELBERG N","AHMED S"," 1"
"LANGLE D PAZ T","AHMED S"," 2"
"MCMAHON J","AHMED S"," 2"
"NAGEL C","AHMED S"," 1"
"RODEMEYER L","AHMED S"," 1"
"STAUDIGL M","AHMED S"," 2"
"SZANTO T","AHMED S"," 1"
"ZEILER K","AHMED S"," 2"
"ALTMAN M","AHO K"," 1"
"CIOCAN C","AHO K"," 1"
"FERNANDEZ A","AHO K"," 2"
"GALLEGOS F","AHO K"," 1"
"JOHNSON F","AHO K"," 1"
"LLORENTE J","AHO K"," 1"
"SCHALOW F","AHO K"," 2"
"COSERU C","ALBAHARI M"," 1"
"FASCHING W","ALBAHARI M"," 1"
"HOFFDING S","ALBAHARI M"," 1"
"SMITH D","ALBAHARI M"," 1"
"STRAWSON G","ALBAHARI M"," 1"
"AL-SAJI A","ALCOFF L"," 3"
"ANDERSON P","ALCOFF L"," 1"
"CARASTATHIS A","ALCOFF L"," 1"
"ECKSTRAND N","ALCOFF L"," 1"
"FERNANDEZ A","ALCOFF L"," 1"
"FOULTIER A","ALCOFF L"," 2"
"GRACE V","ALCOFF L"," 1"
"HEINAMAA S","ALCOFF L"," 2"
"MARTINEZ J","ALCOFF L"," 2"
"MCKINNON R","ALCOFF L"," 1"
"NGO H","ALCOFF L"," 1"
"OKSALA J","ALCOFF L"," 2"
"RUIZ E","ALCOFF L"," 1"
"STAUDIGL M","ALCOFF L"," 1"
"STEINBOCK A","ALCOFF L"," 1"
"STOLLER S","ALCOFF L"," 1"
"URBAN P","ALCOFF L"," 1"
"WESTPHAL K","ALCOFF L"," 1"
"YANCY G","ALCOFF L"," 1"
"BERTOLINI S","ALLEN J"," 1"
"CHANG T","ALLEN J"," 1"
"FISHER L","ALLEN J"," 1"
"MCWEENY J","ALLEN J"," 1"
"OKSALA J","ALLEN J"," 1"
"ROHRBACH A","ALLEN J"," 1"
"SAENZ C","ALLEN J"," 1"
"SZANTO T","ALLEN J"," 1"
"WILLIAMS H","ALLEN J"," 1"
