Source,Target,Weight
MORENO AA,AGUIRRE A,1
OGAWA T,AGUIRRE A,1
PERKINS PA,AGUIRRE A,1
PLOTKA W,AGUIRRE A,1
POZO AG,AGUIRRE A,1
PUGLIESE A,AGUIRRE A,1
RUIZ PEG,AGUIRRE A,1
SAKAKIBARA T,AGUIRRE A,1
STEINBOCK AJ,AGUIRRE A,1
YUSUKE I,AGUIRRE A,1
AGUIRRE-GARCIA JC,AGUIRRE J,1
DIAZ JAE,AGUIRRE J,1
BALTAZAR AL,AGUSTIN,1
FERRER RG,AGUSTIN,1
FERRER U,AGUSTIN D,1
MEANA DIR,AGUSTIN D,1
CORTI CA,AGUSTIN S,1
DIEZ RO,AGUSTIN S,1
VARELA PP,AGUSTIN S,1
AL-SAJI A,AHMED S,3
BENTOUHAMI H,AHMED S,1
CARASTATHIS A,AHMED S,1
DICKMAN NE,AHMED S,1
DOLEZAL L,AHMED S,1
DONOHOE J,AHMED S,1
ECKSTRAND N,AHMED S,2
EVENSEN KV,AHMED S,1
FERNANDEZ AV,AHMED S,1
GARCIA OB,AHMED S,1
HELBERG N,AHMED S,1
LAJOIE C,AHMED S,1
LANDRY O,AHMED S,1
LANGLE DE PAZ T,AHMED S,2
LOIDOLT S,AHMED S,1
MCMAHON J,AHMED S,2
MURCHADHA FO,AHMED S,1
NAGEL C,AHMED S,1
RASHEED S,AHMED S,2
RODEMEYER LM,AHMED S,1
STAUDIGL M,AHMED S,3
SZANTO T,AHMED S,1
WHITNEY S,AHMED S,1
ZEILER K,AHMED S,2
FERNANDEZ AV,AHO J,2
LAJOIE C,AHO J,1
PASSERINO LM,AHO J,1
AHO K,AHO K,2
ALTMAN M,AHO K,1
CANAS PM,AHO K,1
CIOCAN C,AHO K,2
FERNANDEZ AV,AHO K,2
GALLEGOS F,AHO K,2
JOHNSON F,AHO K,2
LAJOIE C,AHO K,1
LLORENTE J,AHO K,1
MOSKALEWICZ M,AHO K,1
SCHALOW F,AHO K,2
VALLEGA-NEU D,AHO K,1
HILLS JL,AIKIN S,1
TROFIMOVA M,AIKIN S,1
AINBINDER B,AINBINDER B,1
BUTIERREZ LF,AINBINDER B,1
DE LARA F,AINBINDER B,1
DALY A,AINLEY A,1
REHBERG A,AINLEY A,1
HOLTON R,AINSLIE G,1
MCDERMOTT D,AINSLIE G,1
AL-SAJI A,AISAJI A,1
HEINAMAA S,AISAJI A,1
TOADVINE T,AISAJI A,1
WHITMOYER K,AISAJI A,1
ALKSNIS N,AIZAWA K,1
GALLAGHER S,AIZAWA K,1
BLAUBERG II,AKHUTIN A,1
RYNDIN D,AKHUTIN A,1
SHCHETNIKOV AI,AKHUTIN A,2
MCDERMOTT D,AKINS K,1
PERERA R,AKINS K,1
SASS L,AKISKAL H,1
SASS LA,AKISKAL H,1
AKKERMAN A,AKKERMAN A,2
IRWIN B,AKKERMAN A,1
DUFOURCQ A,ALAIN,1
LIEBSCH B,ALAIN,1
MORAN D,ALANEN L,1
QU H,ALANEN L,1
THEODOROU P,ALANEN L,1
BELT J,ALBAHARI M,1
COSERU C,ALBAHARI M,1
FASCHING W,ALBAHARI M,1
FINK CK,ALBAHARI M,1
HOFFDING S,ALBAHARI M,1
LAISH E,ALBAHARI M,1
SMITH DW,ALBAHARI M,1
SPARBY T,ALBAHARI M,1
STRAWSON G,ALBAHARI M,1
ALBERTAZZI L,ALBERS J,1
MYLOPOULOS MI,ALBERS J,1
SCHUMACHER J,ALBERS J,1
CIBULKA J,ALBERT H,1
FERENCZ-FLATZ C,ALBERT H,1
GRONDIN J,ALBERT H,1
INVERSO H,ALBERT H,1
LABELLE G,ALBERT H,1
MONGE JMF,ALBERT H,1
PENTO L,ALBERT H,1
GIAMMUSSO S,ALBERT K,1
WOLZGOTTWALD E,ALBERT K,1
AGUIRRE SAC,ALBERT M,1
FERRER U,ALBERT M,1
ALBERTAZZI L,ALBERTAZZI L,2
FERRAN IV,ALBERTAZZI L,1
IERNA C,ALBERTAZZI L,1
KOENDERINK J,ALBERTAZZI L,1
MARCELO JH,ALBERTAZZI L,1
MARIANI E,ALBERTAZZI L,1
MASI F,ALBERTAZZI L,1
MORAN D,ALBERTAZZI L,1
PLOTKA W,ALBERTAZZI L,1
PROPERZI M,ALBERTAZZI L,1
SIEROKA N,ALBERTAZZI L,1
VRAHIMIS A,ALBERTAZZI L,1
YANEZ AX,ALBERTAZZI L,1
ALBERTAZZI L,ALBERTI L,1
DUKHAN IN,ALBERTI L,1
FISCHER FD,ALBIZU E,1
STEWART J,ALBIZU E,1
AL-SAJI A,ALCOFF L,5
ALFONSO DR,ALCOFF L,1
ANDERSON PS,ALCOFF L,1
BERAN O,ALCOFF L,1
CARASTATHIS A,ALCOFF L,1
ECKSTRAND N,ALCOFF L,1
FERNANDEZ AV,ALCOFF L,1
FOULTIER AP,ALCOFF L,2
GRACE VM,ALCOFF L,1
HANSEN J,ALCOFF L,1
HEINAMAA S,ALCOFF L,2
IBRAHIMHAKKIOGLU F,ALCOFF L,1
JAIMA AR,ALCOFF L,1
LA CAZE M,ALCOFF L,1
LAJOIE C,ALCOFF L,1
LAKEY H,ALCOFF L,1
LAMOLA MJ,ALCOFF L,1
MARTINEZ JM,ALCOFF L,2
MCKINNON R,ALCOFF L,1
MURPHY AV,ALCOFF L,1
NGO H,ALCOFF L,1
OKSALA J,ALCOFF L,2
POPA D,ALCOFF L,2
RUIZ EF,ALCOFF L,1
SAENZ MCL,ALCOFF L,1
SIMPSON J,ALCOFF L,1
STAUDIGL M,ALCOFF L,1
STEINBOCK AJ,ALCOFF L,4
STOLLER S,ALCOFF L,1
TAYLOR PC,ALCOFF L,1
URBAN P,ALCOFF L,1
WESTPHAL KR,ALCOFF L,1
YANCY G,ALCOFF L,1
ALDEA AS,ALDEA A,2
BEHNKE EA,ALDEA A,1
BOURGEOT L,ALDEA A,1
ELDRIDGE P,ALDEA A,1
PLOTKA W,ALDEA A,1
RUMP J,ALDEA A,1
RUMP JM,ALDEA A,1
VLASOVA O,ALDEA A,1
CIAVATTA D,ALDER K,1
HERRANZ FMP,ALDER K,1
ALDERSON-DAY B,ALDERSONDAY B,1
BROUWERS VP,ALDERSONDAY B,1
KNAPPIK F,ALDERSONDAY B,1
HASSE J,ALEIDA,1
KUHN R,ALEIDA,1
ALEKSANDER I,ALEKSANDER I,2
CHRISLEY R,ALEKSANDER I,1
STUART SAJ,ALEKSANDER I,1
TAYLOR JG,ALEKSANDER I,1
ALDERSON-DAY B,ALEMAN A,1
D'ALOISIO-MONTILLA N,ALEMAN A,1
LAROI F,ALEMAN A,1
PEREIRA F,ALEMAN A,1
BELLO AA,ALES B,2
BOROBIA J,ALES B,1
BUONGIORNO F,ALES B,1
CALCAGNO A,ALES B,1
CAMEIRO SFB,ALES B,1
CONDE F,ALES B,1
DI PIERRO EG,ALES B,1
DUPUIS M,ALES B,1
GOTO TA,ALES B,1
MAGRI E,ALES B,1
MAHFOUD M,ALES B,1
PROPERZI M,ALES B,1
SAENZ CL,ALES B,1
SAENZ MCL,ALES B,1
TOMMASI FV,ALES B,1
BERKOVICH-OHANA A,ALEXANDER C,1
HERRANZ FMP,ALEXANDER C,1
DRISCOLL ES,ALEXANDER H,1
JENKINS S,ALEXANDER H,1
ALEXANDER IW,ALEXANDER I,1
BOUCKAERT B,ALEXANDER I,1
BELVEDERE C,ALEXANDER J,1
BROUWERS VP,ALEXANDER J,1
GELFERT A,ALEXANDER J,1
VIIK T,ALEXANDER J,2
CARASTATHIS A,ALEXANDER M,1
DAVENPORT JJ,ALEXANDER M,1
ECKSTRAND N,ALEXANDER M,1
PORCHER JE,ALEXANDER M,1
HUSSERL-ARCHIV LIN,ALEXANDER N,1
KWOK SH,ALEXANDER N,1
TUSSEAU G,ALEXANDER N,1
ALEXANDER R,ALEXANDER R,3
CARLSON S,ALEXANDER R,3
DUQUE JCM,ALEXANDER R,3
RICHIR M,ALEXANDER R,1
SCHNELL A,ALEXANDER R,1
WHITE WJ,ALEXANDER R,1
DEMPSEY LP,ALEXANDER S,1
GARFITT T,ALEXANDER S,1
HOERL C,ALEXANDER S,1
SCHNELL A,ALEXANDER S,1
HILLS J,ALEXANDER T,3
NIEL L,ALEXY R,1
TUSSEAU G,ALEXY R,2
MORRISON G,ALFORD C,1
SMITH N,ALFORD C,1
COPOERU I,ALFRED S,1
GODDE G,ALFRED S,1
FELDGES T,ALIBALI M,1
KRUEGER J,ALIBALI M,1
MERRITT M,ALIBALI M,1
FLAMARIQUE L,ALICI T,1
TUMKAYA S,ALICI T,1
PAGE J,ALIGHIERI D,1
SALIN A,ALIGHIERI D,1
BJORK U,ALISON M,1
MURRAY SJ,ALISON M,1
MALIVSKYI AM,ALISON S,2
MIGLIO N,ALISON S,1
LUECK B,ALLAIS L,1
MATHERNE S,ALLAIS L,1
MCCLELLAND T,ALLAIS L,1
THOMPSON E,ALLAIS L,1
VAN MAZIJK C,ALLAIS L,1
ZAHAVI D,ALLAIS L,2
GINEV D,ALLCHIN D,2
LA CAZE M,ALLEN A,1
LUCAS SD,ALLEN A,2
SCHROEDER B,ALLEN A,1
ELPIDOROU A,ALLEN C,1
KAISER P,ALLEN C,2
SCHWITZGEBEL E,ALLEN C,1
TUMKAYA S,ALLEN C,1
MACDONALD PS,ALLEN D,1
SAMARINA TS,ALLEN D,1
TUCKETT J,ALLEN D,1
BERTOLINI S,ALLEN J,1
CHANG TC,ALLEN J,1
FISHER L,ALLEN J,1
JACKSON GB,ALLEN J,1
MCWEENY J,ALLEN J,1
NUNZIANTE AM,ALLEN J,1
OKSALA J,ALLEN J,1
ROHRBACH A,ALLEN J,1
SAENZ CL,ALLEN J,1
SAENZ MCL,ALLEN J,1
SZANTO T,ALLEN J,1
WILLIAMS H,ALLEN J,1
ADAMS Z,ALLEN K,1
BECK O,ALLEN K,1
BENBAJI H,ALLEN K,1
GOW L,ALLEN K,1
NIIKAWA T,ALLEN K,2
BIZZARI V,ALLEN M,2
CALCAGNO A,ALLEN M,1
CIAUNICA A,ALLEN M,1
LEMANSKI J,ALLEN M,1
MCCARTHY JC,ALLEN M,1
ALDERSON-DAY B,ALLEN P,1
ASTOBIZA AM,ALLEN P,1
CALCAGNO A,ALLEN P,2
LANE T,ALLEN P,1
KIM TH,ALLEN R,1
ROUSSE BS,ALLEN R,1
SINNERBRINK R,ALLEN R,1
STRASSFELD J,ALLEN R,1
CALCAGNO A,ALLEN S,1
MARAMBIO JTA,ALLEN S,1
POWER SE,ALLEN S,1
HE J,ALLENCOLLINSON J,1
HOFFDING S,ALLENCOLLINSON J,1
TUCKETT J,ALLENCOLLINSON J,1
CALCAGNO A,ALLERS R,1
MAHFOUD M,ALLERS R,1
CANTO EM,ALLIEZ E,1
GABELLIERI E,ALLIEZ E,1
GIAMBASTIANI V,ALLIEZ E,1
JANICAUD D,ALLIEZ E,1
MADRONERO-MORILLO M,ALLIEZ E,1
RESTREPO CE,ALLIEZ E,1
BERENPAS M,ALLINSON R,1
HAO CC,ALLINSON R,1
PORTA MAG,ALLINSON R,1
STANCHINA G,ALLINSON R,1
DAHL E,ALLISON D,1
ROY M,ALLISON D,1
TOADVINE T,ALLISON D,1
ATKINS K,ALLISON H,1
BARDON A,ALLISON H,1
DEWS P,ALLISON H,2
DIAZ E,ALLISON H,2
DUNAGAN C,ALLISON H,1
DUNSON JA,ALLISON H,1
FERRER G,ALLISON H,1
FLAY JC,ALLISON H,1
GASPARYAN DE,ALLISON H,1
GOMES A,ALLISON H,2
JENKINS S,ALLISON H,2
KINKAID J,ALLISON H,1
LUFT S,ALLISON H,2
MARTELL T,ALLISON H,1
MATHERNE S,ALLISON H,1
SERCK-HANSSEN C,ALLISON H,2
SMITH B,ALLISON H,1
SMYTH B,ALLISON H,1
STOKES P,ALLISON H,1
TANG MT,ALLISON H,1
THOMSON I,ALLISON H,2
VINOGRADOVS V,ALLISON H,1
WARE O,ALLISON H,2
WESTPHAL KR,ALLISON H,2
WRATHALL MA,ALLISON H,2
ZAHAVI D,ALLISON H,3
ZUH D,ALLISON H,2
BAYNE T,ALLISON T,1
VASTERLING V,ALLISON T,1
RAMIREZ E,ALLMAN J,1
THOMPSON E,ALLMAN J,1
ALLOA E,ALLOA E,2
APOSTOLOPOULOS D,ALLOA E,2
ARTEMENKO N,ALLOA E,1
DASTUR F,ALLOA E,1
KEILING T,ALLOA E,1
KUHN R,ALLOA E,1
LAZIC D,ALLOA E,1
PUGLIESE A,ALLOA E,1
ROMERO PD,ALLOA E,1
WANG YJ,ALLOA E,1
SASS LA,ALLOUCH J,1
VAN HAUTE P,ALLOUCH J,1
MOSKALEWICZ M,ALLOY L,1
RAMIREZ E,ALLOY L,1
JENNINGS CD,ALLPORT A,1
MCCLELLAND T,ALLPORT A,1
PEREIRA F,ALLPORT A,1
ALLY MC,ALLY M,1
MITCHELL D,ALLY M,1
LAISH E,ALMOGI O,1
ZHANG LH,ALMOGI O,1
BACHEV M,ALMOND P,1
SHORES C,ALMOND P,1
BOEHM R,ALQUIE F,1
CHENAVIER R,ALQUIE F,1
CLEMENT A,ALQUIE F,1
DALISSIER M,ALQUIE F,1
FRERE B,ALQUIE F,1
HENRY M,ALQUIE F,1
KUHN R,ALQUIE F,1
MARION JL,ALQUIE F,1
TALLON A,ALQUIE F,1
VINOLO S,ALQUIE F,1
VRAHIMIS A,ALQUIE F,2
ALROE HF,ALROE H,3
AL-SAJI A,ALSAJI A,5
BENTOUHAMI H,ALSAJI A,1
CAPEK J,ALSAJI A,1
KEBEDE M,ALSAJI A,1
KEEPING J,ALSAJI A,1
KELLY MR,ALSAJI A,1
