OLD NAME,"NEW NAME (""NA"" to Delete)",COMMENT
CHREIIEN JL,CHRETIEN J,
CHRETIEN,CHRETIEN J,
CHRUDZMINSKI ARKADIUSZ,CHRUDZIMSKI A,
CHUBAROVA IM,CHUBAROV I,
CHURCHILL,CHURCHILL J,
CHRUCHLAND P,CHURCHLAND P,
CHVATIK A KOL I,CHVATIK I,
CIARAMELLI CF,CIARAMELLI F,
CIARRAMELLI F,CIARAMELLI F,
CICERO DE NATURA DEORUM,CICERO,
CICERO MT,CICERO,
CIPOLETTI M S,CIPOLLETTI M,
CIVITA,CIVITA A,
CLAESGES L,CLAESGES U,
CLAUDEL,CLAUDEL P,
CLIFTON-SODERSTROM K,CLIFTONSODERSTROM K,
COBIAN MARIO TEODORO RAMIREZ,COBIANRAMIREZ M,
COBIAN MTR,COBIANRAMIREZ M,
COBIAN RAMIREZ,COBIANRAMIREZ M,
BAINBRIDGE COHEN B,COHEN B,
COHEN,COHEN H,
COHEN-LEVINAS D,COHENLEVINAS D,
COLLINGWOOD,COLLINGWOOD R,
COMPTE A,COMTE A,
CONDE SOTO F,CONDESOTO F,
CONILL-SANCHO J,CONILLSANCHO J,
CONKLIN,CONKLIN W,
CONRAD,CONRAD T,checked paper
CONRAD MARTIUS H,CONRADMARTIUS H,
CONRAD-MARTIUS H,CONRADMARTIUS H,
CONVIS JR CH,CONVIS C,
COOPER,COOPER D,
COSMANN,COSMANN P,
COSTA,COSTA V,checked paper
JEAN FRANCOIS COURTINE,COURTINE J,
COWIE,COWIE C,
CRAIGSLIST,CRAIGSLIST,???
CRRANE T,CRANE T,
CRENSHAW,CRENSHAW K,
CRESPO,CRESPO M,
CROSS,CROSS R,
CROWELL,CROWELL S,
GALT CROWELL S,CROWELL S,
CROWTHER,CROWTHER P,
CSIKSZENTMIHALYM,CSIKSZENTMIHALYI M,
CUBO UGARTE OSCAR,CUBOUGARTE O,
CUESTA ABAD NEL SUO J M,CUESTAABAD J,
CURRY G,CURRIE G,
CZERKAWSKI JOZEF,CZARKOWSKI J,
CZERKOWSKI JOZEF,CZARKOWSKI J,
