Source,Target,Weight
DI M,HEIDEGGER M,1
DINCOVICI A,HEIDEGGER M,1
DINGS R,HEIDEGGER M,1
DINKINS C,HEIDEGGER M,2
DIREK Z,HEIDEGGER M,1
DJIAN A,HEIDEGGER M,1
DO C,HEIDEGGER M,1
DODD J,HEIDEGGER M,1
DOKUCHAYEV I,HEIDEGGER M,1
DOLEZAL L,HEIDEGGER M,1
DONOHOE J,HEIDEGGER M,1
DORFMAN E,HEIDEGGER M,1
DOTOV D,HEIDEGGER M,1
DREYFUS H,HEIDEGGER M,1
DUBOST M,HEIDEGGER M,1
DUCROS P,HEIDEGGER M,1
DUNAGAN C,HEIDEGGER M,1
DUQUE C,HEIDEGGER M,1
DURANTE M,HEIDEGGER M,1
DURD O,HEIDEGGER M,3
DURIE R,HEIDEGGER M,1
DUSSERT J,HEIDEGGER M,1
DUVAL R,HEIDEGGER M,1
DWYER D,HEIDEGGER M,1
EARNSHAW O,HEIDEGGER M,1
EDWARDS C,HEIDEGGER M,2
ELPIDOROU A,HEIDEGGER M,1
ENGELLAND C,HEIDEGGER M,8
ENNIS P,HEIDEGGER M,2
ERHARD C,HEIDEGGER M,3
ESCUDERO J,HEIDEGGER M,6
ESPOSITO C,HEIDEGGER M,3
ESTRADA J,HEIDEGGER M,2
EVENSEN K,HEIDEGGER M,2
FABRI M,HEIDEGGER M,1
FABRIS A,HEIDEGGER M,1
FAGENBLAT M,HEIDEGGER M,2
FALOUE E,HEIDEGGER M,1
FALQUE E,HEIDEGGER M,3
FAMELI P,HEIDEGGER M,1
FEENBERG A,HEIDEGGER M,2
FERENCZ F,HEIDEGGER M,7
FERNANDES M,HEIDEGGER M,2
FERNANDEZ A,HEIDEGGER M,6
FERNANDEZ J,HEIDEGGER M,2
FERRER R,HEIDEGGER M,3
FIELD J,HEIDEGGER M,1
FIGAL G,HEIDEGGER M,4
FISHER T,HEIDEGGER M,2
FLAMARIQUE L,HEIDEGGER M,2
FLORES P,HEIDEGGER M,1
FORESTIER F,HEIDEGGER M,2
FORMISANO R,HEIDEGGER M,1
FRAISOPI F,HEIDEGGER M,2
FREYDBERG B,HEIDEGGER M,3
FRITSCHE J,HEIDEGGER M,2
FROEHLICH J,HEIDEGGER M,1
FROESE T,HEIDEGGER M,2
FUJIWARA G,HEIDEGGER M,1
FUNKE G,HEIDEGGER M,1
GABELLIERI E,HEIDEGGER M,2
GAHRN A,HEIDEGGER M,3
GAITSCH P,HEIDEGGER M,1
GALLAGHER S,HEIDEGGER M,3
GALLEGOS F,HEIDEGGER M,2
GAMBOA L,HEIDEGGER M,2
GARCIA A,HEIDEGGER M,1
GARRERA T,HEIDEGGER M,1
GARRIDO J,HEIDEGGER M,2
GASCHE R,HEIDEGGER M,1
GAUVRY C,HEIDEGGER M,1
GERARD V,HEIDEGGER M,1
GERL F,HEIDEGGER M,1
GHANOTAKIS G,HEIDEGGER M,2
GIAMBASTIANI V,HEIDEGGER M,1
GIBBS P,HEIDEGGER M,4
GIER N,HEIDEGGER M,2
GILABERT F,HEIDEGGER M,1
GILDERSLEEVE M,HEIDEGGER M,1
GINEV D,HEIDEGGER M,5
GIRARDI L,HEIDEGGER M,1
GIUBILATO G,HEIDEGGER M,1
GJESDAL K,HEIDEGGER M,2
GODWAY E,HEIDEGGER M,2
GOGUEN J,HEIDEGGER M,1
GONZALEZ F,HEIDEGGER M,1
GONZALEZ J,HEIDEGGER M,1
GORGONE S,HEIDEGGER M,1
GORNER P,HEIDEGGER M,2
GOSETTI F,HEIDEGGER M,1
GOURDAIN S,HEIDEGGER M,1
GRAHOVAC V,HEIDEGGER M,1
GRANT S,HEIDEGGER M,1
GRATTON P,HEIDEGGER M,2
GRAVES A,HEIDEGGER M,2
GREISCH J,HEIDEGGER M,2
GRICOSKI T,HEIDEGGER M,1
GRIFFERO T,HEIDEGGER M,1
GRIMWOOD T,HEIDEGGER M,1
GRITTEN A,HEIDEGGER M,1
GRON A,HEIDEGGER M,3
GROS A,HEIDEGGER M,2
GROSSHEIM M,HEIDEGGER M,1
GROTH M,HEIDEGGER M,1
GSCHWANDTNER C,HEIDEGGER M,2
GUARDIOLA J,HEIDEGGER M,2
GUIDETTI L,HEIDEGGER M,1
GUTAUSKAS M,HEIDEGGER M,3
GUZMAN C,HEIDEGGER M,1
HAINIC C,HEIDEGGER M,2
HANSON J,HEIDEGGER M,2
HAO Y,HEIDEGGER M,1
HART J,HEIDEGGER M,2
HART K,HEIDEGGER M,1
HASSE J,HEIDEGGER M,1
HAUSER K,HEIDEGGER M,1
HAVERKAMP A,HEIDEGGER M,2
HEATON J,HEIDEGGER M,1
HEDERMAN M,HEIDEGGER M,1
HEELAN P,HEIDEGGER M,4
HEFFERNAN G,HEIDEGGER M,4
HEIDEGGER M,HEIDEGGER M,2
HEIM M,HEIDEGGER M,2
HEINAMAA S,HEIDEGGER M,2
HEINER B,HEIDEGGER M,1
HELD K,HEIDEGGER M,5
HENG W,HEIDEGGER M,1
HENGEHOLD L,HEIDEGGER M,2
HENRIKSEN M,HEIDEGGER M,2
HENRY M,HEIDEGGER M,1
HERRERA H,HEIDEGGER M,2
HERSCH E,HEIDEGGER M,2
HERVAS A,HEIDEGGER M,1
HICKERSON R,HEIDEGGER M,2
HILLS J,HEIDEGGER M,1
HIMANKA J,HEIDEGGER M,3
HIRANO T,HEIDEGGER M,1
HIROTA D,HEIDEGGER M,2
HODGE J,HEIDEGGER M,3
HOFFMANN T,HEIDEGGER M,1
HOGENOVA A,HEIDEGGER M,1
HOLZER W,HEIDEGGER M,1
HOMAN C,HEIDEGGER M,2
HOPKINS B,HEIDEGGER M,1
HORNER R,HEIDEGGER M,1
HORUJY S,HEIDEGGER M,1
HOTTOIS G,HEIDEGGER M,1
HOUSSET E,HEIDEGGER M,1
HRNJEZ S,HEIDEGGER M,1
HUANG W,HEIDEGGER M,1
