name,value,new.name
30053,LEVINA,LEVINA
25362,LEVINA E,LEVINA E
724,LEVINAS,LEVINAS
607,LEVINAS E,LEVINAS E
23644,LEVINAS EMANNUEL,LEVINAS E
5282,LEVINAS EMANUEL,LEVINAS E
26995,LEVINAS EMMANEUL,LEVINAS E
510,LEVINAS EMMANUEL,LEVINAS E
32223,LEVINAS H,LEVINAS H
12256,LEVINAS I,LEVINAS I
28450,LEVINAS L,LEVINAS L
29787,LEVINAS V,LEVINAS V
15262,LEVINASS,LEVINASS
18953,LEVINE ALAN,LEVINE A
4060,LEVINE B,LEVINE B
9830,LEVINE DN,LEVINE D
25047,LEVINE G,LEVINE G
167,LEVINE J,LEVINE J
18171,LEVINE JOSEPH,LEVINE J
10161,LEVINE LJ,LEVINE L
1678,LEVINE P A,LEVINE P
11804,LEVINE PA,LEVINE P
9051,LEVINE STEPHEN K,LEVINE S
30426,LEVINS E,LEVINS E
9121,LEVINSON J,LEVINSON J
15375,LEVINSON JERROLD,LEVINSON J
28616,LEVINSON RB,LEVINSON R
9937,LEVINSON S,LEVINSON S
23421,LEVINSON S C,LEVINSON S
14742,LEVINSON SC,LEVINSON S
23855,LEVINSON STEPHEN C,LEVINSON S
22121,LEVINTAS EMMANUEL,LEVINTAS E
26618,LEVISRAUSS,LEVISRAUSS
25574,LEVISTRAUSS,LEVISTRAUSS
39,LEVISTRAUSS C,LEVISTRAUSS C
5280,LEVISTRAUSS CLAUDE,LEVISTRAUSS C
20113,LEVISTROS K,LEVISTROS K
5281,LEVISTROS KLOD,LEVISTROS K
7552,LEVITAN LYNNE,LEVITAN L
10785,LEVJNAS E,LEVJNAS E
1562,LEVY A,LEVY A
24441,LEVY BENNY,LEVY B
25294,LEVY BERNARDHENRI,LEVY B
15564,LEVY BRUHL L,LEVY B
10603,LEVY D,LEVY D
26423,LEVY DORE J,LEVY D
4150,LEVY HEINRICH,LEVY H
17094,LEVY JULIEN,LEVY J
15094,LEVY L,LEVY L
2182,LEVY N,LEVY N
9613,LEVY NEIL,LEVY N
11171,LEVY RI,LEVY R
11869,LEVYBRUHL L,LEVYBRUHL L
5283,LEVYBRUHL LUCIEN,LEVYBRUHL L
31029,LEVYHO BH,LEVYHO B
30704,LEVYVALENSI EA,LEVYVALENSI E
26260,LEWANDOWICZ E,LEWANDOWICZ E
26403,LEWELLEN C,LEWELLEN C
1543,LEWENS T,LEWENS T
16225,LEWICKI P,LEWICKI P
28451,LEWIN B,LEWIN B
30023,LEWIN D,LEWIN D
4890,LEWIN K,LEWIN K
23732,LEWIN R,LEWIN R
30631,LEWIS,LEWIS
29637,LEWIS A,LEWIS A
8271,LEWIS B,LEWIS B
19680,LEWIS C,LEWIS C
10903,LEWIS C I,LEWIS C
2396,LEWIS C S,LEWIS C
6697,LEWIS CI,LEWIS C
10904,LEWIS CLARENCE I,LEWIS C
1216,LEWIS CLARENCE IRVING,LEWIS C
2913,LEWIS CLIVE STAPLES,LEWIS C
4487,LEWIS CR,LEWIS C
31784,LEWIS CS,LEWIS C
1217,LEWIS D,LEWIS D
18186,LEWIS D K,LEWIS D
30842,LEWIS D L,LEWIS D
1218,LEWIS DAVID,LEWIS D
7117,LEWIS DK,LEWIS D
1966,LEWIS G,LEWIS G
12500,LEWIS H B,LEWIS H
9444,LEWIS JD,LEWIS J
1967,LEWIS KL,LEWIS K
7654,LEWIS M,LEWIS M
17970,LEWIS M D,LEWIS M
15332,LEWIS MARC,LEWIS M
14880,LEWIS MB,LEWIS M
