name,short.name,appearances,comment,changed.in.old,present.in.old
AGLIOTI S,AGLIOTI S,1,NA,FALSE,TRUE
AGLIOTI SM,AGLIOTI S,1,NA,FALSE,TRUE
AGNEW J,AGNEW J,1,NA,FALSE,TRUE
AGNEW ZK,AGNEW Z,1,NA,FALSE,TRUE
AGNIEL D,AGNIEL D,1,NA,FALSE,FALSE
AGOSTA L,AGOSTA L,2,NA,FALSE,TRUE
AGOSTINI CHRISTOPHE,AGOSTINI C,1,NA,FALSE,FALSE
AGOSTINI E,AGOSTINI E,1,NA,FALSE,FALSE
AGOSTINI I,AGOSTINI I,1,NA,FALSE,TRUE
AGRA M J,AGRA M,1,NA,FALSE,FALSE
AGRANATTAMIR L,AGRANATTAMIR L,1,NA,FALSE,FALSE
AGUD A,AGUD A,1,NA,FALSE,FALSE
AGUILAR LOPEZ J M,AGUILAR L,1,NA,FALSE,FALSE
AGUILERA D,AGUILERA D,1,NA,FALSE,FALSE
AGUILERA VITA S,AGUILERA V,14,NA,TRUE,TRUE
AGUILERA VITA SERGIO,AGUILERA V,1,NA,TRUE,TRUE
AGUINSKY E,AGUINSKY E,1,NA,FALSE,FALSE
AGUIRRE-GARCIA JC,AGUIRRE,28,NA,TRUE,TRUE
AGUIRRE A,AGUIRRE A,23,NA,FALSE,TRUE
AGUIRRE AF,AGUIRRE A,3,NA,FALSE,TRUE
AGUIRRE ANTONIO,AGUIRRE A,1,NA,FALSE,TRUE
AGUIRRE J,AGUIRRE J,2,NA,FALSE,TRUE
AGUIRRE MARIANO,AGUIRRE M,1,NA,FALSE,FALSE
AGUIRRE SAC,AGUIRRE S,17,NA,FALSE,FALSE
AGUSTIN,AGUSTIN,2,NA,TRUE,TRUE
AGUSTIN DE HIPONA SAN,AGUSTIN D,1,NA,TRUE,TRUE
AGUSTIN DE HIPONA SANTO,AGUSTIN D,1,NA,FALSE,FALSE
AGUSTIN HIPONA SANTO,AGUSTIN H,1,NA,FALSE,FALSE
AGUSTIN SAN,AGUSTIN S,2,NA,FALSE,FALSE
AGUSTIN SERRANO DE HARO,AGUSTIN S,1,NA,FALSE,FALSE
AGUSTN PERKINS PATRICIO,AGUSTN P,1,NA,FALSE,FALSE
AHARONY MICHAL,AHARONY M,1,NA,FALSE,FALSE
AHLSTROM K,AHLSTROM K,1,NA,FALSE,TRUE
AHMED E,AHMED E,1,NA,FALSE,TRUE
AHMED H,AHMED H,1,NA,FALSE,FALSE
AHMED LEILA,AHMED L,1,NA,FALSE,TRUE
AHMED S,AHMED S,22,NA,FALSE,TRUE
AHMED SAMA,AHMED S,1,NA,FALSE,TRUE
AHMED SARA,AHMED S,8,NA,FALSE,TRUE
AHMED SARAH,AHMED S,2,NA,FALSE,TRUE
AHN I,AHN I,12,NA,FALSE,TRUE
AHN SJG,AHN S,1,NA,FALSE,TRUE
AHO JAMES,AHO J,4,NA,FALSE,FALSE
AHO K,AHO K,42,NA,FALSE,TRUE
AHO K A,AHO K,4,NA,FALSE,TRUE
AHO KA,AHO K,3,NA,FALSE,TRUE
AHO KEVIN,AHO K,1,NA,FALSE,FALSE
AHONEN M,AHONEN M,1,NA,FALSE,FALSE
AHUMADA CRISTI M,AHUMADA C,1,NA,TRUE,TRUE
AHUTIN AV,AHUTIN A,1,NA,FALSE,TRUE
AI-SAJI A,AI,29,NA,TRUE,TRUE
