name,strength,community
Eliade M,29,Schutz
Wagner H,25,Schutz
Barber M,22,Schutz
Hacking I,21,Schutz
Glendinning S,19,Schutz
Garfinkel H,18,Schutz
Parsons T,17,Schutz
Lonergan B,16,Schutz
Srubar I,15,Schutz
Heisenberg W,14,Schutz
Chan W,13,Schutz
Thompson M,13,Schutz
Luckmann T,12,Schutz
Crossley N,11,Schutz
Spivak G,11,Schutz
Wang Y,11,Schutz
Heller A,10,Schutz
Morley J,9,Schutz
Giddens A,9,Schutz
Lakatos I,9,Schutz
Lopez D,8,Schutz
Hengstenberg H,8,Schutz
Lynch M,8,Schutz
Schaeffer J,8,Schutz
Churchill S,7,Schutz
Dasgupta S,7,Schutz
Denzin N,7,Schutz
Endress M,7,Schutz
Hett W,7,Schutz
Lanigan R,7,Schutz
Mou Z,7,Schutz
Owens J,7,Schutz
Shokhin V,7,Schutz
Ginev D,6,Schutz
Beaney M,6,Schutz
Bhattacharya K,6,Schutz
Compton J,6,Schutz
Cox J,6,Schutz
Giere R,6,Schutz
Hanson N,6,Schutz
Ivanhoe P,6,Schutz
King R,6,Schutz
Kirsberg I,6,Schutz
Langsdorf L,6,Schutz
Nehamas A,6,Schutz
Passmore J,6,Schutz
Selbybigge L,6,Schutz
Smart N,6,Schutz
Tu W,6,Schutz
Wippel J,6,Schutz
Richir M,198,Richir
Maldiney H,67,Richir
Blumenberg H,60,Richir
Schnell A,45,Richir
Danto A,39,Richir
Rota G,28,Richir
Varelaposada P,27,Richir
Deurbina R,19,Richir
Varela P,16,Richir
Murakami Y,13,Richir
Vankerckhoven G,13,Richir
Carlson S,10,Richir
English J,10,Richir
Alexander R,9,Richir
Garelli J,9,Richir
Serres M,9,Richir
Brown A,8,Richir
Godard J,8,Richir
Lalande A,8,Richir
Boltanski L,7,Richir
Janet P,7,Richir
Marquet J,7,Richir
Richir,7,Richir
Salanskis J,7,Richir
Forestier F,6,Richir
Mesnil J,6,Richir
Bourbaki N,6,Richir
Fedida P,6,Richir
Lanciani A,6,Richir
Millon J,6,Richir
Revel J,6,Richir
Suzuki D,6,Richir
Wallace R,6,Richir
Wetz F,6,Richir
Stein E,152,Stein
Alesbello A,51,Stein
Conradmartius H,32,Stein
Gregory R,20,Stein
Michotte A,16,Stein
Beckmannzoller B,15,Stein
Vonhelmholtz H,14,Stein
Calcagno A,12,Stein
Albertazzi L,12,Stein
Bloch E,11,Stein
Hering E,11,Stein
Newman J,11,Stein
Bozzi P,10,Stein
Metzger W,10,Stein
Prigogine I,10,Stein
Maritain J,9,Stein
Baseheart M,8,Stein
Borden S,8,Stein
Kerr F,8,Stein
Nicol E,8,Stein
Sorabji R,8,Stein
Lebech M,7,Stein
Przywara E,7,Stein
Sawicki M,7,Stein
Todorov T,7,Stein
Koenderink J,6,Stein
Guardini R,6,Stein
Herbstrith W,6,Stein
Kanizsa G,6,Stein
Lewin K,6,Stein
Needham J,6,Stein
Stein,6,Stein
Fuchs T,143,Fuchs
Jaspers K,122,Fuchs
Ratcliffe M,115,Fuchs
Sass L,101,Fuchs
Nussbaum M,85,Fuchs
Straus E,78,Fuchs
Binswanger L,72,Fuchs
Schmitz H,65,Fuchs
Parnas J,65,Fuchs
Minkowski E,61,Fuchs
Stern D,56,Fuchs
Frith C,52,Fuchs
Plessner H,51,Fuchs
Leder D,47,Fuchs
Stanghellini G,46,Fuchs
Blankenburg W,40,Fuchs
Bohme G,32,Fuchs
Polanyi M,30,Fuchs
Carel H,27,Fuchs
Mishara A,27,Fuchs
Vygotsky L,27,Fuchs
Laing R,26,Fuchs
Svenaeus F,25,Fuchs
Vanden B,25,Fuchs
Bleuler E,24,Fuchs
Jung C,24,Fuchs
Slaby J,23,Fuchs
Graham G,23,Fuchs
Schacter D,22,Fuchs
Boss M,20,Fuchs
Conrad K,20,Fuchs
Schneider K,20,Fuchs
Kimura B,19,Fuchs
Schwartz M,19,Fuchs
Toombs S,19,Fuchs
Misch G,18,Fuchs
Berrios G,16,Fuchs
Stocker M,15,Fuchs
Tatossian A,15,Fuchs
Tellenbach H,15,Fuchs
Radden J,14,Fuchs
Debiran M,14,Fuchs
Dehaans S,14,Fuchs
Ey H,14,Fuchs
Bortolotti L,13,Fuchs
Kraus A,13,Fuchs
Andreasen N,13,Fuchs
Fulford K,13,Fuchs
Young A,13,Fuchs
Bentall R,12,Fuchs
Bordo S,12,Fuchs
Decety J,12,Fuchs
Johnson S,12,Fuchs
Wiggins O,12,Fuchs
Wilson T,12,Fuchs
Cutting J,11,Fuchs
Maher B,11,Fuchs
Stolorow R,11,Fuchs
Summa M,10,Fuchs
Barnes H,10,Fuchs
Jones S,10,Fuchs
Kleinman A,10,Fuchs
Kraepelin E,10,Fuchs
Mitchell S,10,Fuchs
Thornton T,10,Fuchs
Wakefield J,10,Fuchs
Nelson B,9,Fuchs
Broome M,9,Fuchs
Cermolacce M,9,Fuchs
Coltheart M,9,Fuchs
Ellenberger H,9,Fuchs
Henriksen M,9,Fuchs
Iacoboni M,9,Fuchs
Kruger H,9,Fuchs
Lipps H,9,Fuchs
May R,9,Fuchs
Vongebsattel V,9,Fuchs
Vonweizsacker V,9,Fuchs
Raballo A,8,Fuchs
Bovet P,8,Fuchs
Corlett P,8,Fuchs
Ehrenreich B,8,Fuchs
Ellis H,8,Fuchs
Esquirol J,8,Fuchs
Frank A,8,Fuchs
Ghaemi S,8,Fuchs
Kidd I,8,Fuchs
